NAME,POSITION,HEIGHT,FOOT,AGE,RATING,NATION
João Félix,Attack,180,Right,22,91,Portugal
Ángel Correa,Attack,173,Right,27,91,Argentina
Álvaro Morata,Attack,187,Right,29,91,Spain
Nabil Fekir,Midfield,173,Left,28,91,France
Sergio Canales,Midfield,179,Left,31,91,Spain
Papu Gómez,Attack,167,Right,34,91,Argentina
Belloli Raphinha,Attack,176,Left,25,91,Brazil
Ousmane Dembélé,Attack,178,Both,25,91,France
Marco Asensio,Midfield,178,Left,26,91,Spain
Yannick Carrasco,Midfield,181,Right,28,91,Belgium
Lucas Ocampos,Midfield,187,Both,28,91,Argentina
Eden Hazard,Attack,173,Both,31,91,Belgium
Gonzalez Pedri,Midfield,174,Both,19,91,Spain
Carlos Soler,Midfield,183,Right,25,91,Spain
Joan Jordán,Midfield,184,Right,28,91,Spain
Franck Kessié,Midfield,183,Right,25,91,Ivory Coast
Mikel Merino,Midfield,188,Left,26,91,Spain
Rodrigo de Paul,Midfield,180,Both,28,91,Argentina
Saúl Níguez,Midfield,184,Left,27,91,Spain
Ivan Rakitić,Midfield,184,Right,34,91,Croatia
Aurélien Tchouameni,Midfield,185,Right,22,91,France
Axel Witsel,Defence,186,Right,33,91,Belgium
Ferland Mendy,Defence,180,Left,27,91,France
Josè Gaya,Defence,172,Left,27,91,Spain
Jesús Navas,Midfield,170,Right,36,91,Spain
Pau Torres,Defence,192,Left,25,91,Spain
Arnaut Danjuma,Attack,178,Right,25,90,Netherlands
Iñaki Williams,Attack,186,Right,28,90,Ghana
Iago Aspas,Attack,176,Left,34,90,Spain
Gonçalo Guedes,Attack,179,Right,25,90,Portugal
Youssef En Nesyri,Attack,188,Left,25,90,Morocco
Alexander Isak,Attack,190,Right,22,90,Sweden
David Silva,Midfield,170,Left,36,90,Spain
Goes Rodrygo,Attack,175,Right,21,90,Brazil
Ferrán Torres,Attack,180,Right,22,90,Spain
Thomas Lemar,Midfield,170,Left,26,90,France
Jesús Corona,Midfield,173,Right,29,90,Mexico
Eduardo Camavinga,Midfield,182,Left,19,90,France
Miralem Pjanić,Midfield,180,Both,32,90,Bosnia & Herzegovina
Guido Rodríguez,Midfield,185,Right,28,90,Argentina
William Carvalho,Midfield,187,Right,30,90,Portugal
Geoffrey Kondogbia,Defence,188,Left,29,90,Central African Republic
Fernando Reges,Defence,182,Right,34,90,Brazil
Renan Lodi,Defence,178,Left,24,90,Brazil
Marcos Acuña,Midfield,175,Left,30,90,Argentina
Andreas Christensen,Defence,186,Right,26,90,Denmark
Gerard Piqué,Defence,193,Right,35,90,Spain
Mario Hermoso,Defence,184,Left,27,90,Spain
Ronald Araújo,Defence,188,Right,23,90,Uruguay
Robin le Normand,Defence,187,Right,25,90,France
Iñigo Martínez,Defence,182,Left,31,90,Spain
Raúl Albiol,Defence,190,Right,36,90,Spain
Unai Simón,Goalkeeper,189,Right,25,90,Spain
Yassine Bounou,Goalkeeper,190,Left,31,90,Morocco
Matheus Cunha,Attack,184,Right,23,89,Brazil
Santi Mina,Attack,177,Right,26,89,Spain
Raúl de Tomás,Attack,180,Right,27,89,Spain
Rafa Mir,Attack,186,Right,25,89,Spain
Maxi Gómez,Attack,186,Right,25,89,Uruguay
Borja Iglesias,Attack,187,Right,29,89,Spain
Willian José,Attack,186,Right,30,89,Brazil
Raúl García,Attack,184,Right,36,89,Spain
Brahim Díaz,Midfield,170,Both,22,89,Spain
Fernández Suso,Attack,176,Left,28,89,Spain
Manzanera Portu,Midfield,178,Right,30,89,Spain
Denís Suárez,Midfield,181,Right,28,89,Spain
Alarcón Isco,Midfield,176,Right,30,89,Spain
Iker Muniain,Attack,169,Right,29,89,Spain
Érik Lamela,Attack,182,Left,30,89,Argentina
Yéremi Pino,Attack,172,Right,19,89,Spain
Samuel Chukwueze,Attack,172,Left,23,89,Nigeria
Moi Gómez,Midfield,174,Right,28,89,Spain
Pablo Gavi,Midfield,173,Right,17,89,Spain
Dani Ceballos,Midfield,176,Right,25,89,Spain
Óliver Torres,Midfield,178,Right,27,89,Spain
Manu Trigueros,Midfield,178,Right,30,89,Spain
Daniel Wass,Midfield,178,Right,33,89,Denmark
Martín Zubimendi,Midfield,181,Right,23,89,Spain
Igor Zubeldia,Defence,185,Right,25,89,Spain
Nemanja Maksimović,Midfield,189,Right,27,89,Serbia
Mauro Arambarri,Midfield,175,Right,26,89,Uruguay
Thomas Delaney,Midfield,182,Left,30,89,Denmark
Étienne Capoue,Midfield,189,Right,34,89,France
Alfonso Pedraza,Midfield,184,Left,26,89,Spain
Pervis Estupiñán,Defence,175,Left,24,89,Ecuador
Álex Moreno,Midfield,177,Left,29,89,Spain
Lucas Vázquez,Midfield,173,Right,31,89,Spain
Sergi Roberto,Midfield,178,Right,30,89,Spain
Reinildo Mandava,Defence,180,Left,28,89,Mozambique
Gonzalo Montiel,Defence,180,Right,25,89,Argentina
Juan Foyth,Defence,182,Right,24,89,Argentina
Clément Lenglet,Defence,185,Left,27,89,France
Marc Bartra,Defence,184,Right,31,89,Spain
Aritz Elustondo,Defence,183,Right,28,89,Spain
Aïssa Mandi,Defence,186,Right,30,89,Algeria
Nacho Fernández,Defence,179,Right,32,89,Argentina
Luiz Felipe,Defence,186,Right,25,89,Italy
Yeray Álvarez,Defence,183,Right,27,89,Spain
David García,Defence,185,Right,28,89,Spain
Dakonam Djené,Defence,187,Right,30,89,Togo
Monteiro Felipe,Defence,191,Right,33,89,Brazil
Álex Remiro,Goalkeeper,191,Right,27,89,Spain
David Soria,Goalkeeper,192,Left,29,89,Spain
Rui Silva,Goalkeeper,189,Left,28,89,Portugal
Gerónimo Rulli,Goalkeeper,189,Right,30,89,Argentina
José Luis Morales,Attack,180,Right,34,88,
Mariano Díaz,Attack,180,Right,28,88,Dominican Republic
Munir el Haddadi,Attack,175,Left,26,88,Morocco
Boulaye Dia,Attack,180,Right,25,88,Senegal
Paco Alcácer,Attack,176,Both,28,88,Spain
Borja Mayoral,Attack,182,Right,25,88,Spain
Enes Ünal,Attack,185,Both,25,88,Turkey
Brais Méndez,Midfield,187,Right,25,88,Spain
Adnan Januzaj,Attack,178,Left,27,88,Belgium
Ansu Fati,Attack,178,Right,19,88,Spain
Álex Berenguer,Midfield,175,Right,27,88,Spain
Samu Castillejo,Attack,182,Left,27,88,Spain
López Juanmi,Attack,172,Right,29,88,Spain
Jon Moncayola,Midfield,189,Right,24,88,Spain
Fran Beltrán,Midfield,167,Right,23,88,Spain
Andrés Guardado,Midfield,169,Left,35,88,Mexico
Sergi Darder,Midfield,180,Right,28,88,Spain
Asier Illarramendi,Midfield,177,Right,32,88,Spain
Hugo Guillamón,Defence,180,Right,22,88,Spain
Renato Tapia,Midfield,185,Right,26,88,Peru
Francis Coquelin,Midfield,178,Right,31,88,France
Vicente Iborra,Midfield,190,Right,34,88,Spain
Sergiño Dest,Midfield,175,Right,21,88,United States
Javi Galán,Midfield,172,Left,27,88,Spain
Andoni Gorosabel,Defence,180,Right,25,88,Spain
Álvaro Odriozola,Defence,178,Right,26,88,Spain
Ludwig Augustinsson,Defence,180,Left,28,88,Sweden
Joseba Zaldúa,Defence,176,Right,30,88,Spain
Serge Aurier,Defence,176,Right,29,88,Ivory Coast
Yuri Berchiche,Defence,181,Left,32,88,Spain
Vieira Marcelo,Defence,174,Left,34,88,Brazil
Dani Alves,Defence,172,Right,39,88,Brazil
Hugo Mallo,Defence,173,Right,31,88,Spain
Éric García,Defence,182,Right,21,88,Spain
Unai Núñez,Defence,186,Right,25,88,Spain
Leandro Cabrera,Defence,187,Left,31,88,Uruguay
Domingos Duarte,Defence,190,Right,27,88,Portugal
Germán Pezzella,Defence,184,Right,31,88,Argentina
Gabriel Paulista,Defence,187,Right,31,88,Brazil
Sergio Herrera,Goalkeeper,192,Right,29,88,Spain
Marko Dmitrović,Goalkeeper,194,Left,30,88,Serbia
Jasper Cillessen,Goalkeeper,187,Right,33,88,Netherlands
Murara Neto,Goalkeeper,192,Right,32,88,Brazil
Sergio Asenjo,Goalkeeper,189,Right,33,88,Spain
Hugo Duro,Attack,180,Left,22,87,Spain
Martin Braithwaite,Attack,180,Both,31,87,Denmark
Christian Stuani,Attack,184,Right,35,87,Uruguay
Loren Morón,Attack,180,Right,28,87,Spain
Chimy Ávila,Attack,172,Left,28,87,Argentina
Radamel Falcao,Attack,177,Both,36,87,Colombia
Lucas Boyé,Attack,183,Right,26,87,Argentina
Carlos Fernández,Attack,191,Left,26,87,Spain
Ante Budimir,Attack,190,Left,30,87,Croatia
Sanmartín Joselu,Attack,191,Right,32,87,Spain
Álvaro Negredo,Attack,186,Left,36,87,Spain
Óscar Rodríguez,Midfield,176,Right,24,87,Spain
Rony Lopes,Attack,174,Left,26,87,Portugal
Orbelín Pineda,Midfield,168,Left,26,87,Mexico
Álvaro García,Midfield,168,Both,29,87,Spain
Rubén Garcìa,Attack,171,Both,29,87,Spain
Cristian Tello,Midfield,178,Right,30,87,Spain
Sánchez Joaquín,Attack,179,Right,40,87,Spain
Jakub Jankto,Midfield,184,Left,26,87,Czech Republic
Franco Cervi,Midfield,166,Left,28,87,Argentina
Unai Vencedor,Midfield,175,Right,21,87,Spain
Carles Aleña,Midfield,180,Left,24,87,Spain
Tonny Vilhena,Midfield,175,Left,27,87,Netherlands
Ander Guevara,Midfield,178,Right,25,87,Spain
Dani García,Midfield,183,Right,32,87,Spain
Omar Mascarell,Midfield,181,Right,29,87,Spain
Mikel Vesga,Midfield,191,Left,29,87,Spain
Lucas Torró,Midfield,190,Right,28,87,Spain
Nemanja Gudelj,Defence,187,Right,30,87,Serbia
Okay Yokuslu,Midfield,190,Right,28,87,Turkey
Adrià Pedrosa,Midfield,172,Left,24,87,Spain
Iñigo Lekue,Defence,180,Right,29,87,Spain
Rubén Peña,Midfield,170,Right,30,87,Spain
Johan Mojica,Defence,172,Left,29,87,Colombia
Alberto Moreno,Defence,171,Left,30,87,Spain
Ander Capa,Midfield,176,Right,30,87,Spain
Dimitri Foulquier,Defence,183,Right,29,87,Guadeloupe
Mario Gaspar,Defence,178,Right,31,87,Spain
Óscar de Marcos,Midfield,180,Right,33,87,Spain
Nacho Vidal,Defence,180,Right,27,87,Spain
Youssouf Sabaly,Defence,174,Right,29,87,Senegal
Mikel Balenziaga,Defence,177,Left,34,87,Spain
Damián Suárez,Defence,173,Right,34,87,Uruguay
Jesús Vallejo,Defence,183,Right,25,87,Spain
Karim Rekik,Defence,186,Left,27,87,Netherlands
Óscar Mingueza,Defence,184,Right,23,87,Spain
Teixeira Marcão,Defence,185,Left,26,87,Brazil
Joseph Aidoo,Defence,185,Right,26,87,Ghana
Mouctar Diakhaby,Defence,189,Right,25,87,Guinea
Samuel Umtiti,Defence,180,Left,28,87,France
Sergi Gómez,Defence,185,Right,30,87,Spain
Víctor Ruíz,Defence,185,Left,33,87,Spain
Jeremías Ledesma,Goalkeeper,184,Right,29,87,Argentina
Stole Dimitrievski,Goalkeeper,188,Right,28,87,North Macedonia
Mathew Ryan,Goalkeeper,184,Right,30,87,Australia
Claudio Bravo,Goalkeeper,184,Right,39,87,Chile
Pepe Reina,Goalkeeper,188,Right,39,87,Spain
Sergi Guardiola,Attack,180,Left,31,86,Spain
Ezequiel Ponce,Attack,175,Right,25,86,Argentina
Javi Puado,Attack,177,Right,24,86,Spain
Óscar Plano,Attack,180,Right,31,86,Spain
Lucas Pérez,Attack,181,Left,33,86,Spain
Ángel Rodríguez,Attack,172,Right,35,86,Spain
Asier Villalibre,Attack,183,Left,24,86,Spain
Jaime Mata,Attack,185,Right,33,86,Spain
Kike García,Attack,186,Right,32,86,Spain
Roberto Torres,Midfield,176,Right,33,86,Spain
Álex Fernández,Midfield,182,Right,29,86,Spain
Óscar Trejo,Attack,180,Right,34,86,Argentina
Ander Barrenetxea,Attack,178,Left,20,86,Spain
Francisco Trincão,Attack,184,Left,22,86,Portugal
Oussama Idrissi,Attack,183,Right,26,86,Morocco
Adri Embarba,Attack,178,Right,30,86,Spain
Denis Cheryshev,Attack,179,Left,31,86,Russia
Manuel Nolito,Midfield,172,Right,35,86,Spain
Unai López,Midfield,169,Both,26,86,Spain
Roque Mesa,Midfield,171,Right,33,86,Spain
Nico González,Midfield,188,Right,20,86,Argentina
Iddrisu Baba,Midfield,185,Right,26,86,Ghana
Uroš Račić,Midfield,192,Both,24,86,Serbia
Santi Comesaña,Midfield,184,Right,25,86,Spain
Darko Brašanac,Midfield,178,Right,30,86,Serbia
Manu Sánchez,Defence,179,Left,21,86,Spain
Aihen Muñoz,Defence,175,Left,24,86,Spain
Fran García,Midfield,169,Left,22,86,Spain
Pablo Maffeo,Defence,173,Right,25,86,Spain
Alfonso Espino,Defence,171,Left,30,86,Uruguay
Lucas Olaza,Defence,173,Left,27,86,Uruguay
Sergio Escudero,Defence,176,Left,32,86,Spain
Santiago Arias,Defence,170,Right,30,86,Colombia
Aleix Vidal,Midfield,178,Right,32,86,Spain
Thierry Correia,Defence,176,Right,23,86,Portugal
Diego Rico,Defence,181,Left,29,86,Spain
Iván Balliu,Defence,175,Right,30,86,Albania
Jaume Costa,Defence,171,Left,34,86,Spain
Nacho Monreal,Defence,179,Left,36,86,Spain
Martin Valjent,Defence,187,Right,26,86,Slovakia
Juan Miranda,Defence,185,Left,22,86,Spain
Dani Vivian,Defence,183,Right,23,86,Spain
Alejandro Catena,Defence,194,Right,27,86,Spain
Jorge Cuenca,Defence,187,Left,22,86,Spain
Fernando Calero,Defence,183,Right,26,86,Spain
Stefan Mitrović,Defence,189,Left,32,86,Serbia
Jaume Doménech,Goalkeeper,187,Right,31,86,Spain
Rubén Blanco,Goalkeeper,186,Right,26,86,Spain
Diego López,Goalkeeper,196,Right,40,86,Spain
Mohamed Ali Cho,Attack,182,Right,18,85,
Manu Vallejo,Attack,180,Right,25,85,Spain
Shon Weissman,Attack,174,Right,26,85,Israel
Landry Dimata,Attack,187,Right,24,85,Belgium
Umar Sadiq,Attack,192,Right,25,85,Nigeria
Rubén Sobrino,Attack,185,Right,30,85,Spain
Guido Carrillo,Attack,190,Right,31,85,Argentina
Anthony Lozano,Attack,185,Right,29,85,Honduras
Oihan Sancet,Attack,188,Right,22,85,Spain
Kang-In Lee,Attack,173,Left,21,85,Korea Republic
Óscar Melendo,Midfield,167,Right,24,85,Spain
Toni Villa,Attack,171,Left,27,85,Spain
Javier Pastore,Midfield,187,Right,33,85,Argentina
Luiz Henrique,Attack,180,Left,21,85,Brazil
Yunus Musah,Midfield,180,Right,19,85,United States
Aitor Ruibal,Midfield,176,Right,26,85,Spain
Tete Morente,Attack,175,Right,25,85,Spain
Kike Barja,Attack,178,Right,25,85,Spain
Takefusa Kubo,Attack,167,Left,21,85,Japan
Diego Lainez,Midfield,167,Left,22,85,Mexico
Isi Palazón,Attack,176,Left,27,85,Spain
Iñigo Córdoba,Attack,178,Left,25,85,Spain
Salvi Sánchez,Midfield,175,Right,31,85,Spain
Pere Milla,Attack,179,Left,29,85,Spain
Lei Wu,Attack,174,Right,30,85,China
Augusto Solari,Midfield,180,Right,30,85,Argentina
Chaves Fidel,Midfield,180,Left,32,85,Spain
Machín Vitolo,Attack,185,Right,32,85,Spain
Francisco Portillo,Attack,169,Right,32,85,Spain
Raúl Guti,Midfield,177,Right,25,85,Spain
Keidi Bare,Midfield,174,Right,24,85,Albania
Lucas Robertone,Midfield,170,Right,25,85,Argentina
Gerard Gumbau,Midfield,188,Left,27,85,Spain
Óscar Valentín,Midfield,177,Right,27,85,Spain
Rubén Alcaraz,Midfield,180,Right,31,85,Spain
Víctor Camarasa,Midfield,183,Right,28,85,Spain
Fede San Emeterio,Midfield,174,Right,25,85,Spain
David López,Defence,185,Right,32,85,Spain
Óscar Gil,Defence,180,Right,24,85,Spain
Álex Pozo,Midfield,175,Right,23,85,Spain
Iza Carcelén,Defence,179,Right,29,85,Spain
Brian Oliván,Defence,179,Left,28,85,Spain
Helibelton Palacios,Defence,177,Right,29,85,Colombia
Martín Montoya,Defence,174,Right,31,85,Spain
José Ángel Cote,Defence,182,Left,32,85,
Édgar González,Defence,193,Right,25,85,Spain
Fali Jiménez,Defence,186,Right,28,85,Spain
Juan Cruz,Defence,180,Left,29,85,Spain
Gonzalo Verdú,Defence,189,Right,33,85,Spain
Joaquín Fernández,Defence,183,Right,26,85,Spain
Unai García,Defence,182,Left,29,85,Spain
Aridane Hernández,Defence,186,Right,33,85,Spain
Pedro Bigas,Defence,181,Left,32,85,Spain
Enzo Roco,Defence,193,Right,29,85,Chile
López Juanpe,Defence,190,Right,31,85,Spain
Bernardo Espinosa,Defence,192,Right,33,85,Colombia
Juan Cala,Defence,185,Right,32,85,Spain
Edgar Badía,Goalkeeper,180,Right,30,85,Spain
Jordi Masip,Goalkeeper,179,Right,33,85,Spain
Joel Robles,Goalkeeper,198,Right,32,85,Spain
Aitor Fernández,Goalkeeper,182,Right,31,85,Spain
Amath Ndiaye,Attack,179,Right,25,84,Senegal
Sergio León,Attack,178,Right,33,84,Spain
Randy Nteka,Attack,189,Left,24,84,France
Fer Niño,Attack,180,Right,21,84,Spain
Marcos André,Attack,184,Right,25,84,Brazil
Matías Vargas,Attack,168,Right,25,84,Argentina
Dani Rodríguez,Midfield,177,Left,34,84,Spain
Samuel Lino,Attack,175,Right,22,84,Brazil
Álvaro Vadillo,Attack,180,Right,27,84,Spain
Manu Morlanes,Midfield,178,Right,23,84,Spain
Iñigo Ruiz de Galarreta,Midfield,174,Right,28,84,Spain
Samú Costa,Midfield,183,Left,21,84,Portugal
Tomás Alarcón,Defence,175,Right,23,84,Chile
Iñigo Eguaras,Midfield,181,Right,30,84,Spain
Jonathan Silva,Defence,175,Left,28,84,Argentina
Iván Martos,Defence,182,Left,25,84,Spain
Carlos Akapo,Defence,179,Right,29,84,Equatorial Guinea
Houboulang Mendes,Defence,183,Right,24,84,Guinea-Bissau
Diego González,Defence,184,Left,27,84,Spain
Nikola Maraš,Defence,187,Right,26,84,Serbia
Esteban Saveljich,Defence,187,Right,31,84,Montenegro
Eray Cömert,Defence,185,Right,24,84,Switzerland
Erick Cabaco,Defence,186,Right,27,84,Uruguay
Rodrigo Ely,Defence,188,Right,28,84,Brazil
Antonio Raíllo,Defence,188,Right,30,84,Spain
Abdón Prats,Attack,181,Right,30,83,Spain
Rodri Sánchez,Midfield,170,Left,22,83,Spain
Álex Baena,Midfield,175,Right,20,83,Spain
Nico Melamed,Midfield,173,Right,21,83,Spain
Álex Collado,Midfield,173,Left,23,83,Spain
Javi Martínez,Attack,180,Right,22,83,Spain
José Carlos Lazo,Attack,177,Right,26,83,
Curro Sánchez,Midfield,178,Right,26,83,Spain
José Pozo,Attack,170,Left,26,83,Spain
Borja García,Midfield,176,Right,31,83,Spain
Nico Williams,Attack,180,Right,20,83,Spain
Jon Morcillo,Attack,183,Left,23,83,Spain
Iván Alejo,Attack,186,Right,27,83,Spain
Javi Ontiveros,Attack,172,Right,24,83,Spain
Josán Fernández,Midfield,176,Right,32,83,Spain
Awer Mabil,Attack,179,Right,26,83,Australia
Pablo Hervías,Midfield,174,Right,29,83,Spain
Rober Ibañez,Attack,180,Right,29,83,Spain
Alberto Perea,Attack,180,Right,31,83,Spain
Tiago Bebé,Attack,190,Right,32,83,Cape Verde
Oier Zarraga,Midfield,175,Right,23,83,Spain
Antonio Sánchez,Midfield,179,Right,25,83,Spain
Monchu Rodríguez,Midfield,173,Right,22,83,Spain
Riqui Puig,Midfield,169,Right,22,83,Spain
Clément Grenier,Midfield,186,Right,31,83,France
Fran Mérida,Midfield,180,Left,32,83,Spain
Pathé Ciss,Midfield,183,Right,28,83,Senegal
César de la Hoz,Midfield,179,Right,30,83,Spain
Iñigo Pérez,Defence,178,Left,34,83,Spain
Jaime Seoane,Midfield,175,Right,25,83,Spain
José Mari,Midfield,180,Right,34,83,Spain
Luis Pérez,Midfield,173,Right,27,83,Spain
Toni Lato,Defence,173,Left,24,83,Spain
Braian Cufré,Midfield,179,Left,25,83,Argentina
Giovanni González,Defence,175,Right,27,83,Uruguay
Saidy Janko,Defence,181,Right,26,83,Gambia
Kevin Vázquez,Defence,173,Right,29,83,Spain
Santi Arzamendia,Defence,174,Left,24,83,Paraguay
Antonio Barragán,Defence,186,Right,35,83,Spain
Mario Suárez,Defence,188,Right,35,83,Spain
Ignasi Miquel,Defence,193,Left,29,83,Spain
Jonás Ramalho,Defence,181,Right,29,83,Angola
Víctor Chust,Defence,182,Right,22,83,Spain
Franco Russo,Defence,185,Right,27,83,Argentina
Nehuén Pérez,Defence,184,Right,22,83,Argentina
Modibo Sagnan,Defence,187,Left,23,83,Mali
Josema Sánchez,Defence,184,Left,26,83,Spain
Jorge Sáenz,Defence,192,Right,25,83,Spain
Srdjan Babić,Defence,192,Left,26,83,Serbia
José Chema,Defence,182,Right,30,83,
Luis Hernández,Defence,183,Right,33,83,Spain
Kiko Olivas,Defence,189,Right,33,83,Spain
Giorgi Mamardashvili,Goalkeeper,199,Right,21,83,Georgia
Andriy Lunin,Goalkeeper,191,Right,23,83,Ukraine
Iván Arboleda,Goalkeeper,183,Right,26,83,Colombia
Ivo Grbić,Goalkeeper,195,Right,26,83,Croatia
Iván Villar,Goalkeeper,183,Right,25,83,Spain
Fernando Martínez,Goalkeeper,185,Right,32,83,Spain
Juan Carlos,Goalkeeper,187,Right,34,83,Spain
Roberto Jiménez,Goalkeeper,195,Right,36,83,Spain
Andrés Martín,Attack,170,Left,23,82,Spain
Hiroki Abe,Attack,171,Right,23,82,Japan
Nano Mesa,Attack,186,Right,27,82,Spain
Lago Júnior,Attack,185,Right,31,82,Ivory Coast
Samu Sáiz,Attack,174,Right,31,82,Spain
Julen Lobete,Attack,178,Right,21,82,Spain
Sergio Camello,Attack,177,Right,21,82,Spain
Jon Karrikaburu,Attack,180,Right,19,82,Spain
Matthew Hoppe,Attack,191,Right,21,82,United States
Jon Bautista,Attack,180,Right,27,82,Spain
Dyego Sousa,Attack,190,Right,32,82,Portugal
Álvaro Giménez,Attack,183,Left,31,82,Spain
Iván Martín,Midfield,178,Left,23,82,Spain
Roberto López,Attack,179,Left,22,82,Spain
Jesus Reinier,Attack,185,Right,20,82,Brazil
Álvaro Aguado,Midfield,174,Right,26,82,Spain
Jorge Pombo,Attack,177,Right,27,82,Spain
Largie Ramazani,Attack,167,Right,21,82,Belgium
Rodrigo Riquelme,Midfield,174,Right,22,82,Spain
Marcos Paulo,Attack,186,Right,21,82,Portugal
Waldo Rubio,Attack,181,Left,26,82,Spain
Valery Fernández,Midfield,180,Right,22,82,Spain
Gonzalo Plata,Attack,173,Left,21,82,Ecuador
Martín Merquelanz,Attack,176,Right,27,82,Spain
Víctor Mollejo,Attack,176,Left,21,82,Spain
Álex Gallar,Attack,176,Both,30,82,Spain
Jordi Mboula,Attack,182,Right,23,82,Spain
Álvaro Jiménez,Midfield,176,Right,27,82,Spain
Iván Sánchez,Attack,174,Left,29,82,Spain
Kike Pérez,Midfield,184,Left,25,82,Spain
Luca de la Torre,Midfield,175,Right,24,82,United States
Aleix García,Midfield,173,Right,25,82,Spain
Beñat Turrientes,Midfield,181,Right,20,82,Spain
Pol Lozano,Midfield,176,Right,22,82,Spain
Mohamed Anuar,Midfield,172,Right,27,82,Morocco
Antonio Blanco,Midfield,175,Right,21,82,Spain
Paul Akouokou,Midfield,181,Right,24,82,Ivory Coast
Peru Nolaskoain,Defence,185,Right,23,82,Spain
Jon Ander Garrido,Midfield,185,Right,32,82,
Arnau Martínez,Midfield,181,Right,19,82,Spain
Miguel Gutiérrez,Defence,180,Left,20,82,Spain
Víctor Gómez,Defence,169,Right,22,82,Spain
Juanjo Nieto,Defence,170,Right,27,82,Spain
Álex Centelles,Defence,185,Left,22,82,Spain
Moussa Wagué,Defence,177,Right,23,82,Senegal
Sergio Akieme,Defence,175,Left,24,82,Equatorial Guinea
Dídac Vilá,Defence,185,Left,33,82,Spain
Miguelón Llambrich,Defence,175,Right,26,82,Spain
Aitor Buñuel,Defence,173,Right,24,82,Spain
Santiago Bueno,Defence,189,Right,23,82,Uruguay
Javi Sánchez,Defence,189,Right,25,82,Spain
Juan Chumi,Defence,185,Right,23,82,Spain
Jawad el Yamiq,Defence,190,Right,30,82,Morocco
Daniel Carriço,Defence,180,Right,33,82,Portugal
Julen Agirrezabala,Goalkeeper,187,Left,21,82,Spain
Dominik Greif,Goalkeeper,197,Right,25,82,Slovakia
Dani Martín,Goalkeeper,186,Both,24,82,Spain
José Antonio Caro,Goalkeeper,184,Right,28,82,
Luca Zidane,Goalkeeper,181,Right,24,82,France
Axel Werner,Goalkeeper,191,Right,26,82,Argentina
Rubén Yáñez,Goalkeeper,188,Right,28,82,Spain
Adrián Ortolà,Goalkeeper,182,Left,28,82,Spain
Oier Olazábal,Goalkeeper,191,Left,32,82,Spain
Álex Alegría,Attack,188,Right,29,81,Spain
Juan Manuel Sanabria,Midfield,172,Left,22,81,
Raúl Carnero,Defence,175,Left,33,81,Spain
Juan Gutiérrez,Attack,177,Left,20,80,Uruguay
Jack Harper,Attack,187,Left,26,80,Scotland
Lass Bangoura,Attack,174,Right,30,80,Guinea
Stiven Plaza,Attack,188,Right,23,80,Ecuador
Pablo Torre,Midfield,173,Right,19,80,Spain
Sergio Arribas,Attack,171,Right,20,80,Spain
Miguel Baeza,Midfield,176,Left,22,80,Spain
Robert Navarro,Midfield,178,Right,20,80,Spain
Joni Montiel,Midfield,173,Left,23,80,Spain
Ez Abde,Attack,177,Right,20,80,Morocco
Näis Djouahra,Attack,172,Right,22,80,France
Rober González,Attack,169,Both,21,80,Spain
Arnau Puigmal,Midfield,173,Right,21,80,Spain
Víctor Sánchez,Defence,180,Right,34,80,Spain
Imanol García de Albéniz,Defence,177,Left,22,80,Spain
Juan Iglesias,Midfield,185,Right,24,80,Spain
Sergio Carreira,Defence,170,Right,21,80,Spain
Jesús Vázquez,Defence,182,Left,19,80,Spain
Aday Benítez,Midfield,179,Right,34,80,Spain
David Juncà,Defence,175,Left,28,80,Spain
Mario Hernández,Defence,190,Right,23,80,Spain
Jon Pacheco,Defence,184,Left,21,80,Spain
Carlos Domínguez,Defence,187,Left,21,80,Spain
José Fontán,Defence,182,Left,22,80,Spain
José Manuel Copete,Defence,190,Left,22,80,
Miguel Rubio,Defence,191,Right,24,80,Spain
Juan Pérez,Goalkeeper,190,Right,26,80,Colombia
David Gil,Goalkeeper,186,Left,28,80,Spain
Álex Martín,Defence,184,Right,24,79,Argentina
Borja Garcés,Attack,183,Right,22,78,Spain
Nico Serrano,Attack,178,Left,19,78,Spain
Álex Millán,Attack,182,Right,22,78,Spain
Iván Barbero,Attack,187,Right,23,78,Spain
Sergio Moreno,Attack,180,Right,23,78,Spain
Gorka Guruzeta,Attack,188,Right,25,78,Spain
Sekou Gassama,Attack,189,Left,27,78,Senegal
Leonardo Ulloa,Attack,185,Right,35,78,Argentina
Peter González,Attack,180,Left,19,78,Spain
Iván Chapela,Attack,180,Right,23,78,Spain
Cristian Olivera,Attack,170,Right,20,78,Uruguay
Hugo Vallejo,Attack,181,Right,22,78,Spain
Arvin Appiah,Attack,177,Right,21,78,England
Juan Villar,Attack,183,Right,34,78,Spain
Vicente Esquerdo,Midfield,180,Right,23,78,Spain
Koba Koindredi,Midfield,172,Left,20,78,France
Àlex Carbonell,Midfield,182,Right,24,78,Spain
Beñat Prados,Midfield,180,Right,21,78,Spain
Jon Ander Olasagasti,Defence,176,Right,21,78,
Ramón Terrats,Midfield,174,Left,21,78,Spain
Carlos Dotor,Midfield,180,Right,21,78,Spain
Sergio Lozano,Midfield,175,Right,23,78,Spain
Ibrahima Kébé,Midfield,185,Right,21,78,Mali
Peter Pokorný,Midfield,183,Right,20,78,Slovakia
Ramiro Guerra,Midfield,183,Right,25,78,Uruguay
